"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"4857926",-121.075153158,39.430025227,2010,"5800","3","1","3","01",0,3,"A",,,,,"Y",1800,8,"A","C","A","RT 49","MARYSVILLE RD",3696,"S","N","2011-10-11",9230,"2010-08-09",1532,"13881",,"2","9","0","1",,"1","081","-","Y","YUB",3,49,"-","-",2.91,"H","-","N","Y",3,"A","-",23152,"A","N","A","H","-","A","A","0","Y","A","07",0,1,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",0,0
"4863848",-121.546463818,39.099067347,2010,"5800","5","2","4","03",0,1,"A",,,,,,1500,8,"C","C","A","POWERLINE RD","6TH AV",364,"N","N","2011-08-29",9285,"2010-08-24",1440,"14878",,"2","9","1","3",,"2","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.54656,39.09913
"4869136",-121.210721306,39.372096741,2010,"5800","4","3","4","09",0,1,"B",,,,,,1200,9,"D","C","A","MARYSVILLE RD","TEXAS HILL RD",460,"W","N","2011-10-06",9285,"2010-09-08",935,"10840",,"1","9","0","2",,"2","081","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","D","23",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.25346,39.36291
"4870644",-121.286144904,39.202288161,2010,"5800","4","4","4","09",0,5,"A",,,,,,1800,8,"D","C","A","RT 20","SMARTVILLE RD",0,,"Y","2011-10-12",9285,"2010-08-19",1618,"015849",,"2","9","0","2",,"1","042","-","Y","YUB",3,20,"-","-",21.295,"I","5","E","Y",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","A","01",0,0,5,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.28694,39.20211
"4870656",-121.348129382,39.228775286,2010,"5800","5","7","4","18",0,1,"-",,,"Y",,,2100,8,"H","H","A","SICARD FLAT RD","RT 20",528,"N","N","2011-09-16",9285,"2010-08-22",2020,"010840",,"2","9","0","3",,"2","006","-","N",,0,0,,,0,,,,"Y",1,"C","-",0,,"N","A","H","-","B","D","0","Y","-","-",0,0,1,0,0,0,0,0,1,"-","-","UNINCORPORATED","YUBA","CA",-121.20499,39.13475
"4870672",0,0,2010,"5800","5","6","2","-",0,1,"B",,,"Y",,"Y",2100,8,"F","A","A","WHITEWATER DR","RIPTIDE WY",20,"N","N","2011-08-18",9285,"2010-08-28",2035,"017534",,"2","9","0","3",,"2","004","-","N",,0,0,,,0,,,,"N",1,"A","-",0,,"N","A","H","-","C","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","YUBA","CA",-121.54311,39.11894
"4870680",-121.557357348,39.104465343,2010,"5800","5","2","3","01",0,1,"A",,"Y",,,"Y",2100,8,"H","A","A","2ND AV","WESTERN AV",393,"W","N","2011-08-18",9285,"2010-08-31",1828,"017080",,"2","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"N",1,"A","-",21200,"5","N","A","H","-","A","D","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.55787,39.10447
"4870712",-121.575793198,39.125645163,2010,"5800","4","3","4","12",0,2,"A",,,,,,2100,8,"D","C","A","NORTH BEALE RD","FEATHER RIVER BL",0,,"Y","2011-08-18",9285,"2010-08-18",1858,"018107",,"2","9","0","2",,"1","041","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","08",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.57586,39.12553
"4870719",-121.454565335,39.221231444,2010,"5800","4","1","4","08",0,1,"A",,,,,,600,8,"E","I","A","RT 20","JOINES RD",1056,"W","N","2011-10-12",9285,"2010-08-16",310,"016343",,"3","9","0","2",,"2","062","-","Y","YUB",3,20,"-","-",11.04,"H","-","W","Y",1,"A","-",22107,,"N","A","H","-","C","A","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.45587,39.22129
"4870720",-121.552090373,39.134319781,2010,"5800","4","4","3","21",0,1,"A",,,,,,1500,8,"D","C","A","HAMMONTON SMARTVILLE RD","SIMPSON LN",156,"E","N","2011-08-18",9285,"2010-08-19",1320,"015048",,"1","9","0","2",,"1","042","-","N",,0,0,,,0,,,,"N",2,"A","-",22106,,"N","A","H","-","A","D","0","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.55126,39.13471
