"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"3992112",-121.64536349,39.141749808,2008,"5102","0","5","4","09",0,1,"A",,,,,,2100,11,"D","C","A","RT 20","STABLER LN",365,"W","N","2009-07-01",5102,"2008-11-14",1839,"4067",,"5","4","0","0",,"0","001","-","Y","SUT",3,20,"-","R",15.02,"H","-","W","Y",2,"A","-",21804,"A","N","A","H","-","C","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"3992232",0,0,2008,"5102","0","2","4","21",0,1,"A",,,,,,1800,12,"C","C","A","WEST ONSTOTT FRONTAGE RD","FRANKLIN RD",8,"N","N","2009-07-22",5102,"2008-12-09",1619,"4067","5102","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",22106,,"N","A","H","-","A","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"3992236",-121.644648594,39.141634734,2008,"5102","0","4","4","03",0,1,"A",,,,,,1800,12,"C","C","A","RT 20","NORTH WALTON AV",150,"W","N","2009-08-26",5102,"2008-12-11",1733,"4067","5102","5","4","0","0",,"0","001","-","Y","SUT",3,20,"-","R",15.06,"H","-","E","N",2,"A","-",22350,,"N","A","H","-","C","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"3992240",-121.648513212,39.1493263245,2008,"5102","0","7","4","08",0,1,"B",,"Y",,,,1500,12,"B","G","A","BUTTE HOUSE RD","THARP RD",0,,"Y","2009-07-22",5102,"2008-12-07",1323,"4065","5102","5","4","0","0",,"0","001","E","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","B","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,1,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"3995948",-121.63059908,39.141733547,2008,"5102","0","1","4","03",0,1,"A",,,,,,1500,12,"C","C","A","RT 20","GRAY AV",30,"E","N","2009-08-26",5102,"2008-12-22",1331,"4028","5102","5","4","0","0",,"0","002","-","Y","SUT",3,20,"-","-",15.82,"H","-","W","N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","I","11",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4000777",-121.634799016,39.02609798,2008,"5100","3","2","4","12",0,1,"B",,,,"Y",,900,12,"D","C","A","RT 99","OBANION RD",0,,"Y","2009-08-18",9285,"2008-12-30",606,"01396",,"1","9","0","1",,"1","051","E","Y","SUT",3,99,"-","-",22.6,"I","5","S","Y",2,"A","-",21453,"A","N","B","H","-","B","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4001783",-121.639463554,39.141676498,2008,"5102","0","2","3","03",0,1,"A",,,,"Y",,1500,12,"C","C","A","RT 20","CIVIC CENTER BL",0,,"Y","2009-08-26",5102,"2008-12-30",1459,"443","5102","5","4","0","0",,"0","002","-","Y","SUT",3,20,"-","R",15.34,"H","-","E","Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4002976",-121.652345704,39.25031964,2008,"5100","3","1","3","11",0,1,"A","Y",,,,,2400,12,"G","B","D","RT 99","PASEO AV",0,,"Y","2009-08-17",9285,"2008-12-22",2110,"14744",,"2","9","0","1",,"1","071","-","Y","SUT",3,99,"-","-",38.4,"I","5","N","N",2,"A","-",21950,"B","N","A","H","-","D","D","1","Y","N","60",0,1,0,0,1,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4004341",-121.483653143,38.809551239,2008,"5100","5","6","2","18",0,1,"A",,,,,,300,12,"H","H","A","PLEASANT GROVE RD","FIFIELD RD",140,"N","N","2009-07-22",9285,"2008-12-13",1,"15769",,"3","9","0","3",,"2","001","-","N",,0,0,,,0,,,,"Y",1,"C","-",0,,"N","A","H","-","D","D","0","Y","-","-",1,0,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4006771",-121.540305896,38.749893956,2008,"5100","3","1","3","05",0,1,"B",,,,,,900,12,"E","I","A","RT 99","RIEGO RD",0,,"Y","2009-08-18",9285,"2008-12-01",855,"01396",,"1","9","0","1",,"1","011","E","Y","SUT",3,99,"-","-",0.95,"I","5","N","Y",1,"A","-",21650,,"N","B","H","-","A","A","5","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
