"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"2484970",-120.018600105,38.844694875,2006,"0900","3","3","4","03",0,2,"B",,,,,,1500,2,"E","I","A","RT 89","SHAKORI DR",1056,"N","N","2006-06-16",9246,"2006-02-15",1250,"00930",,"1","9","0","1",,"1","023","D","Y","ED",3,89,"-","-",8.06,"H","-","N","Y",1,"A","-",22350,,"N","B","H","-","A","D","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2484977",0,0,2006,"0900","5","5","4","01",0,1,"A",,,,,"Y",2400,2,"A","C","A","OAK HILL RD","BIG OAK HILL RD",4224,"S","N","2006-06-13",9245,"2006-02-10",2120,"8982",,"2","9","0","3",,"2","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","D","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2484994",-120.018397571,38.8436934,2006,"0900","3","5","4","17",0,1,"D","Y",,,,,1800,2,"C","E","F","RT 89","CORNELIAN DR",1100,"S","N","2006-06-27",9246,"2006-02-17",1645,"00947",,"2","9","0","1",,"1","023","-","Y","ED",3,89,"-","-",7.99,"H","-","N","Y",3,"A","-",21662,,"N","C","H","-","B","D","0","Y","A","07",0,0,1,0,1,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2486374",-120.255320963,38.779309726,2006,"0900","2","6","3","05",0,1,"D","Y",,,,,2100,2,"B","C","E","RT 50","SILVER FORK RD",15,"W","N","2006-06-19",9245,"2006-02-18",1855,"8982",,"2","9","0","1",,"1","160","-","Y","ED",3,50,"-","R",51.35,"H","-","W","Y",3,"A","-",21460,"A","N","C","H","-","D","D","0","Y","A","01",0,1,0,0,1,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2486386",-120.894802116,38.803850778,2006,"0900","3","1","4","05",0,1,"B",,,,,,1800,2,"E","I","A","RT 49","LOTUS RD",2640,"S","N","2006-06-14",9245,"2006-02-20",1545,"00959",,"2","9","0","1",,"1","115","-","Y","ED",3,49,"-","-",23.45,"H","-","S","Y",1,"A","-",21650,,"N","A","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2487164",-120.228256803,38.783380768,2006,"0900","2","3","3","05",0,1,"D",,,,,,1800,2,"E","I","A","RT 50","SILVER FORK RD",4,"E","N","2006-06-19",9245,"2006-02-15",1640,"8982",,"2","9","0","1",,"1","160","-","Y","ED",3,50,"-","-",52.92,"H","-","E","Y",1,"A","-",21650,,"N","C","H","-","D","D","0","Y","A","07",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2487184",-120.135840059,38.808474241,2006,"0900","2","6","2","08",0,2,"A",,,,,,1800,2,"B","C","A","RT 50","CEDAR ST",2640,"E","N","2006-06-19",9245,"2006-02-11",1500,"01556",,"2","9","0","1",,"1","170","-","Y","ED",3,50,"-","-",58.97,"H","-","W","Y",2,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2487188",-120.836591757,38.716159924,2006,"0900","2","1","3","03",0,1,"A",,,,,,300,2,"E","I","A","RT 50","FORNI RD",1320,"W","N","2006-06-19",9245,"2006-02-20",145,"01334",,"3","9","0","1",,"2","120","-","Y","ED",3,50,"-","-",15.51,"H","-","E","Y",1,"A","-",22350,,"N","C","H","-","C","D","1","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2487590",-120.89945515,38.8197212219,2006,"0900","4","3","3","03",0,1,"A",,,,,,2100,2,"E","I","A","MARSHALL RD","PROSPECTORS RD",3726,"E","N","2006-05-31",9245,"2006-02-08",2031,"10059",,"2","9","0","2",,"1","021","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","D","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
"2488924",-121.007959617,38.833798725,2006,"0900","3","5","3","05",0,1,"B",,,,,,1500,2,"E","I","A","RT 49","SALMON FALLS CUTOFF RD",3168,"S","N","2006-06-14",9245,"2006-02-17",1415,"10059",,"2","9","0","1",,"1","115","-","Y","ED",3,49,"-","-",30.42,"H","-","S","Y",1,"A","-",21650,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","EL DORADO","CA",0,0
