"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6818125",-121.5832443,38.5732259,2015,"5700","1","7","4","07",0,1,"A",,,,,,2400,1,"C","C","A","RT 80","ENTERPRISE BL",1000,"W","N","2016-09-22",9280,"2015-01-25",2100,"017800",,"2","9","0","1",,"2","010","-","Y","YOL",3,80,"-","-",8.99,"H","-","E","Y",3,"A","-",21658,"A","F","A","H","-","D","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.59383,38.57128
"6818113",-121.6927549,38.673506,2015,"5700","1","5","4","08",0,1,"A",,,,,,1800,1,"E","I","A","RT 5","COUNTY ROAD 103",4752,"S","N","2016-09-22",9280,"2015-01-30",1745,"015492",,"2","9","0","1",,"2","020","-","Y","YOL",3,5,"-","-",3.59,"H","-","S","Y",1,"A","-",22107,,"N","A","H","-","B","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.69299,38.67343
"6817867",-121.7675631,38.684665,2015,"5703","0","1","4","09",0,2,"A",,,,,,1500,2,"D","-","A","BEAMER ST","5TH ST",0,,"Y","2015-08-19",5703,"2015-02-02",1427,"2857","24","5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","WOODLAND","YOLO","CA",0,0
"6817747",-121.989624,38.9097123,2015,"5700","1","2","2","08",0,2,"A",,,"Y",,,600,2,"F","A","A","RT 5","COUNTY ROAD 2",528,"S","N","2016-09-22",9280,"2015-02-03",330,"15353",,"3","9","0","1",,"2","030","-","Y","YOL",3,5,"-","R",27.68,"H","-","N","Y",1,"A","-",22107,,"N","A","H","-","D","D","1","Y","C","02",1,0,1,0,0,0,0,0,2,"-","-","UNINCORPORATED","YOLO","CA",-121.98935,38.90941
"6816457",0,0,2015,"5700","5","1","4","08",0,1,"A",,,,,,1800,2,"E","I","A","COUNTY ROAD 31","RT 505",2640,"W","N","2016-04-18",9280,"2015-02-02",1715,"015128",,"2","9","0","3",,"2","003","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.96364,38.56187
"6816079",-121.5467057,38.5751133,2015,"5704","2","1","4","03",0,3,"A",,,,,,1800,1,"C","C","A","RT 50","HARBOR BL",100,"E","N","2016-09-12",9280,"2015-01-19",1638,"17800",,"2","4","0","1",,"2","011","-","Y","YOL",3,50,"-","-",1.22,"H","-","W","Y",3,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","01",0,0,3,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",-121.5479,38.57509
"6816075",0,0,2015,"5700","5","6","3","08",0,3,"B",,,,,,1500,1,"E","I","A","COUNTY ROAD 29","COUNTY ROAD 98",250,"W","N","2015-03-04",9280,"2015-01-17",1420,"12272",,"2","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","07",0,1,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.8044,38.5903
"6816071",-121.5566622,38.5751886,2015,"5704","2","5","3","18",0,4,"A",,,,,,2100,1,"C","C","A","RT 50","RT 80",1057,"E","N","2016-09-12",9280,"2015-01-02",1804,"15492",,"2","4","0","1",,"2","011","-","Y","YOL",3,50,"-","-",0.66,"H","-","W","Y",2,"C","-",0,,"N","A","H","-","C","D","1","Y","-","-",0,1,3,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",-121.55909,38.57527
"6816051",-121.7549901,38.6192059,2015,"5700","5","3","3","08",0,1,"B",,,,,,1800,1,"F","A","A","COUNTY ROAD 27","COUNTY ROAD 100A",2112,"E","N","2015-03-04",9280,"2015-01-21",1640,"15492",,"2","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.75271,38.61915
"6816047",-121.5203844,38.5751017,2015,"5704","2","4","4","03",0,2,"A",,,,,,1800,1,"C","C","A","RT 50","JEFFERSON BL",1056,"E","N","2016-09-12",9280,"2015-01-22",1655,"15492",,"2","4","0","1",,"2","011","-","Y","YOL",3,50,"-","-",2.72,"H","-","E","Y",2,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",-121.51806,38.57296
