,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.452092028,0.432802028,0,0,0.319496432,0.231891542,0.323234647,0.352506544,relative.walk.time,ELD
ageCat2,1.877698163,2.062419515,0,173.1818182,1.98882547,2.305661225,2.404367954,2.221138337,,
ageCat3,0.896804923,1,0,1,1.112217045,1,0.856348115,1,,
ageCat4,0.80768974,0.818117784,0,0,0.857604598,0.992675618,0.767058518,0.889922128,,
ageCat5,0.79454833,0.861319566,141.6363636,0,0.77645541,0.756838722,0.933092956,1.042504233,,
ageCat6,0.655551612,0.695924059,140.2352941,0,0.612515062,0.775650971,0.645892184,0.718258337,,
ageCat7,0.547287889,0.565597162,94.6835443,259.25,0.594003593,0.643129809,0.33350605,0.820882111,,
ageCat8,0.51996446,0.474467157,57.20547945,102.3636364,0.593107496,0.228372577,0.599227517,1.105197059,,
, , , , , , , , , ,
ageCat1,1.052682073,0.553240262,0,0,0.306248072,0,0.358851344,0.140721934,relative.cycle.time,
ageCat2,3.359766797,1.699081618,0,0,3.307155688,2.456322917,2.98900826,1.136421447,,
ageCat3,2.300171449,1,0,1,1.906075086,1,1.264473216,1,,
ageCat4,0.994457727,0.448761563,0,0,0.374002747,0.163227842,0.544816474,0.283606773,,
ageCat5,0.691957372,0.224400835,69.13636364,0,0.879901004,0.174207492,0.784491475,0.08107484,,
ageCat6,0.627829623,0.160419489,0,0,0.184263055,0.145679873,0.591227033,0.260389901,,
ageCat7,0.514957698,0.404853411,0,7.314516129,0.0301035,0.187757443,0.358002385,0.104062533,,
ageCat8,0.559753643,0.297956789,0,0,0.328844347,0.260461661,0.054087705,0.086015942,,
, , , , , , , , , ,
ageCat1,1.000243344,0.999885473,0,0,0.999165735,0.997840874,0.999793172,0.999222877,relative.walk.speed,
ageCat2,0.99988697,0.99984727,0,300.5624297,0.999921452,0.999879559,0.999569996,0.999619484,,
ageCat3,0.999801435,1,0,1,1.000090358,1,0.999485541,1,,
ageCat4,0.999729381,1.000026006,0,0,0.999950169,1.00034153,0.999280214,0.999906544,,
ageCat5,1.000012272,1.000063215,300.3851091,0,1.000159536,1.000652344,0.999499279,0.999575221,,
ageCat6,0.999899385,1.000007007,302.0134228,0,0.999773639,1.00048896,1.000822543,1.000164878,,
ageCat7,1.000183345,0.999978615,300,300.0279964,0.998980424,0.999339313,0.997355924,0.998970894,,
ageCat8,0.999829689,0.99975181,298.8505747,303.7300178,0.999507482,1.000056273,0.999896702,0.999492913,,
, , , , , , , , , ,
ageCat1,0.999940297,0.99983111,0,0,0.999750552,0,0.999753517,0.999291966,relative.cycle.speed,
ageCat2,0.999954631,0.999845339,0,0,0.999664692,0.999665111,0.999991966,0.999825528,,
ageCat3,0.999936745,1,0,1,0.999833592,1,1.000020346,1,,
ageCat4,0.99989414,0.999883333,0,0,0.999750552,0.999942443,1.0000946,1.000813471,,
ageCat5,0.999871653,0.999971307,998.0276134,0,1.000038837,0.998625389,1.000063128,1.000299466,,
ageCat6,0.999968205,0.999923686,0,0,0.997043036,0.99929612,0.999527653,0.999959228,,
ageCat7,0.999893073,1.000050814,0,998.8974642,0.996616538,1.000416165,0.99909645,1.002014642,,
ageCat8,0.999746601,1.000379746,0,0,0.999750552,1.00157825,0.999959228,0.997827119,,
,,,,,,,,,,
ageCat1,0.370189333,0.340509638,0,0,0.440723667,0.454974458,0.273439204,0.357860157,relative.walk.time,PLA
ageCat2,1.762266721,1.807050487,0.49613827,1.03018891,1.713574,1.783937209,1.837922003,1.933545691,,
ageCat3,0.849482923,1,0.451437476,1,0.878536303,1,0.895445593,1,,
ageCat4,0.733758099,0.805247596,0.438808329,0.32440426,0.744606421,0.786005513,0.686039157,0.826302179,,
ageCat5,0.690155129,0.739488832,0.369607841,0.252016272,0.630658054,0.855383103,0.653114798,0.707759354,,
ageCat6,0.593067939,0.604883754,0.117156641,0.230498953,0.557938017,0.56007561,0.650558201,0.540935983,,
ageCat7,0.501924855,0.53774359,0.060652082,0,0.443274486,0.549774384,0.399912797,0.510277039,,
ageCat8,0.467142243,0.542729405,0,0,0.404872562,0.468105628,0.459673197,0.507463499,,
, , , , , , , , , ,
ageCat1,0.721514613,0.393593785,0,2.317824074,0.936198862,0.383416632,0.639360148,0.23293295,relative.cycle.time,
ageCat2,3.412022162,1.7334298,21.28020833,19.15262784,4.864822726,1.879172221,2.537234279,1.282964884,,
ageCat3,2.324257555,1,16.73238118,1,3.177026757,1,1.447734901,1,,
ageCat4,1.398938181,0.549954135,9.206060606,6.266644504,2.294185143,0.537408133,1.189201363,0.278595032,,
ageCat5,1.203164745,0.411986477,4.946405607,6.979323022,1.78786593,0.402759512,0.791124862,0.261629705,,
ageCat6,0.710920999,0.327741973,2.972358924,0.749617248,0.494896235,0.511396502,0.521715995,0.229739813,,
ageCat7,0.78794031,0.353475206,0,0,0.943657905,0.370439089,0.636168892,0.116724913,,
ageCat8,0.771010224,0.305166334,0,0,1.058788785,0.339340719,0.376145763,0.576473338,,
, , , , , , , , , ,
ageCat1,1.000036602,0.999851602,0,0,1.000196269,1.000735549,0.999645411,1.000015798,relative.walk.speed,
ageCat2,0.999917214,1.000006888,0.99703217,0.99956429,1.000053632,0.999923961,0.999662482,0.999680437,,
ageCat3,0.999968069,1,0.999650062,1,1.000100556,1,0.999819941,1,,
ageCat4,0.999986547,0.999903362,1.000030526,1.00037167,1.000218832,1.000080537,0.999607686,0.999738418,,
ageCat5,0.999944619,1.000051559,0.999138451,0.99996977,1.000107301,1.000081487,0.999336251,0.999682282,,
ageCat6,0.999899432,1.000098042,0.998714127,0.999168098,1.00001531,1.000076514,0.999599337,0.999594832,,
ageCat7,0.999967778,0.999891281,1.00199741,0,0.9998909,0.999560291,0.999689599,1.000045825,,
ageCat8,0.999897966,0.999966002,0,0,1.000205309,0.999828453,1.000481098,0.999529902,,
, , , , , , , , , ,
ageCat1,1.000158995,0.99993489,0,1.003095975,0.999550207,1.00035842,0.999896103,0.999919981,relative.cycle.speed,
ageCat2,0.999991839,0.999986534,1.001517451,0.999885044,0.999939058,0.999840803,0.999916917,0.999890323,,
ageCat3,1.000015534,1,1.000316623,1,1.000047846,1,0.999828805,1,,
ageCat4,1.000098808,1.000064878,0.999898539,0.999890363,1.000043036,0.999911964,0.999955465,0.999829607,,
ageCat5,1.000004574,0.999903319,0.999858956,1.000394166,0.999984815,1.000062767,0.999932178,0.99967514,,
ageCat6,1.000023431,0.999958835,1,1.001402525,0.999352067,1.000088951,1.000179811,1.0002113,,
ageCat7,0.999975846,0.999945732,0,0,0.999900361,1.000312553,0.99963747,1.000420399,,
ageCat8,0.99996453,0.999769378,0,0,0.999939058,1.000039042,1.000321216,0.999862933,,
,,,,,,,,,,
ageCat1,0.270731518,0.262540424,0.271496034,0.303165291,0.254953328,0.292621499,0.251076819,0.239796581,relative.walk.time,SAC
ageCat2,1.359993715,1.422666693,1.471827408,1.484045597,1.330023376,1.380296368,1.390517637,1.471082286,,
ageCat3,0.849762311,1,0.811387583,1,0.823938955,1,0.875279217,1,,
ageCat4,0.761904612,0.867916676,0.73806033,0.875130367,0.705199479,0.803133505,0.722100804,0.898092117,,
ageCat5,0.759246799,0.867730261,0.702919074,0.856891424,0.751107674,0.788704088,0.763382019,0.90352577,,
ageCat6,0.626401003,0.730695583,0.612871852,0.760202489,0.604850574,0.724944277,0.639904498,0.744173399,,
ageCat7,0.530208995,0.621638598,0.479435986,0.556822403,0.524502817,0.552050192,0.557751161,0.633929905,,
ageCat8,0.497303576,0.54893658,0.449058774,0.621609336,0.406708689,0.456053888,0.455453096,0.504596949,,
, , , , , , , , , ,
ageCat1,0.523268807,0.163389008,0.553207838,0.22571413,0.563839742,0.243349135,0.365617421,0.214221398,relative.cycle.time,
ageCat2,1.854145963,0.867227638,1.936886369,0.966766598,1.822959908,0.889258572,1.800902047,0.855199774,,
ageCat3,2.206088545,1,2.060826775,1,2.064211486,1,2.266742232,1,,
ageCat4,1.710452355,0.616819701,1.928506787,0.844488673,1.852134037,0.584286346,1.69053528,0.619835002,,
ageCat5,1.28119335,0.525495127,1.647827168,0.578027946,1.457978294,0.559006107,1.381124688,0.547801792,,
ageCat6,0.947549615,0.469087727,1.380606361,0.452127513,0.888139507,0.458063649,1.128439714,0.477871188,,
ageCat7,0.942211602,0.475661694,0.819962694,0.406364709,0.86081079,0.390781665,0.808994461,0.355099647,,
ageCat8,0.848747725,0.446246136,1.130076939,0.50521672,0.65672797,0.39166225,0.670142241,0.413247879,,
, , , , , , , , , ,
ageCat1,0.999957325,0.999971057,1.000154186,0.9999421,1.000009478,0.999954347,0.999947801,0.99994055,relative.walk.speed,
ageCat2,1.000016436,0.999986475,1.000062694,1.000007334,1.000017002,1.000020016,1.000000795,0.999997232,,
ageCat3,0.999963432,1,1.000037536,1,1.000075426,1,1.000042075,1,,
ageCat4,0.999984698,0.999956369,1.00018032,1.00006699,0.999915778,1.000011346,1.000058583,1.000032847,,
ageCat5,1.000006647,0.999991989,0.999998489,1.000053808,1.000064778,1.000037328,0.999962091,1.000015411,,
ageCat6,1.000019093,0.999972957,0.999943732,1.000038025,0.999993156,1.000149285,1.000006662,1.000120494,,
ageCat7,1.000023575,0.999986534,1.000173349,1.000095301,1.000192135,1.000049393,1.000076747,1.000038989,,
ageCat8,0.999991762,1.000069557,0.999982534,1.000025996,1.00011217,1.000016447,1.000078622,0.999991384,,
, , , , , , , , , ,
ageCat1,0.999990409,0.9998974,0.999951188,1.00002381,0.999903541,0.99998776,1.000084366,1.000159274,relative.cycle.speed,
ageCat2,0.999960143,0.999921743,0.99998409,0.99998214,0.99993788,0.999923576,1.000019623,1.000030846,,
ageCat3,0.999988552,1,1.000010766,1,0.999957195,1,0.99996876,1,,
ageCat4,0.999979123,1.000012859,1.000004739,0.999947553,0.999927874,0.999915092,0.9999783,1.000017787,,
ageCat5,0.99996662,0.999979527,0.999959708,0.99992068,0.999939779,0.999928176,1.000002018,0.999957544,,
ageCat6,0.99998017,1.000057014,0.999988685,1.000000354,0.999927638,0.999939166,0.999959585,0.999901337,,
ageCat7,1.000045,0.999927993,1.000107435,1.000113909,0.999953334,0.999923157,1.000083073,0.999895458,,
ageCat8,1.000021389,0.999990365,0.999821034,1.000134758,0.999936926,0.999932085,0.999921123,0.999918901,,
,,,,,,,,,,
ageCat1,0.32072919,0.353026247,0.43451294,0,0.371590577,0.324241648,0.329716244,0.348996384,relative.walk.time,SUT
ageCat2,1.706808142,1.645915116,1.597673454,3.07758543,1.965076666,2.197682788,1.744491588,1.806372262,,
ageCat3,0.772431864,1,1.070377507,1,1.06807673,1,0.838732083,1,,
ageCat4,0.677017237,0.837195685,0.445057909,0.658799967,0.676564179,0.965507544,0.739440493,0.935535906,,
ageCat5,0.674593644,0.798370098,0.538673079,0.823419963,0.730926713,1.015777171,0.557604657,0.877377864,,
ageCat6,0.548175173,0.688194956,0,0.8146801,0.539117635,0.803945344,0.547200567,0.626602641,,
