,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat8,0.999700288,0.999657481,1.000139721,0.999933563,0.999906126,1.000143746,0.999516295,1.000081773,,
, , , , , , , , , ,
ageCat1,0.999745417,1.000385944,1.000510108,0.999752715,1.000151965,1.000008833,0.999967904,1.000015636,relative.cycle.speed,
ageCat2,0.999941346,0.999883045,0.999930243,0.99988929,1.000044042,0.999995979,1.000046008,1.000063491,,
ageCat3,0.999900349,1,0.999952123,1,1.000096025,1,1.000061855,1,,
ageCat4,1.000096688,0.999860242,0.999928391,0.999916838,1.000051643,1.000122004,1.000215712,1.000129739,,
ageCat5,0.999951104,0.999953961,0.999793654,0.999836941,1.000138915,0.999962843,1.000072384,0.999943318,,
ageCat6,1.000030234,1.000151125,0.999933386,0.999962051,1.000202071,0.999914455,0.999888052,0.999875434,,
ageCat7,0.999801859,0.999800759,1.000049931,0.999502019,0.999876263,1.000631788,1.000033619,1.000076009,,
ageCat8,0.99983329,0.999786955,0.999746427,0.999585406,1.000241387,0.999588154,1.00001757,1.000093628,,
,,,,,,,,,,
ageCat1,0.210372138,0.202182769,0.24892637,0.265352267,0.310265037,0.326315932,0.348524834,0.340370755,relative.walk.time,SAC
ageCat2,1.449588885,1.523655769,1.322976309,1.36820186,1.377005889,1.448379573,1.352116212,1.395824497,,
ageCat3,0.822099301,1,0.82711579,1,0.879173708,1,0.908838851,1,,
ageCat4,0.681130181,0.897522036,0.711786642,0.852354357,0.832807971,0.887503555,0.800878091,0.89493616,,
ageCat5,0.705482877,0.85302978,0.686326528,0.817286276,0.831849738,0.939802699,0.860183678,0.90131026,,
ageCat6,0.538903377,0.738409336,0.609728098,0.709731407,0.69329919,0.769871959,0.69267968,0.742340665,,
ageCat7,0.453092962,0.604070727,0.518154749,0.577188562,0.554465191,0.599443826,0.612935148,0.561839859,,
ageCat8,0.403819311,0.548214803,0.467205438,0.527050642,0.568119773,0.450295681,0.488538647,0.396736746,,
, , , , , , , , , ,
ageCat1,0.268309445,0.12896752,0.4506676,0.230292445,0.781176142,0.255445946,0.955010495,0.354532197,relative.cycle.time,
ageCat2,1.494196748,0.753567499,1.824167576,0.862973115,2.35386972,1.011157394,2.390780905,1.190153337,,
ageCat3,2.063387372,1,2.234589195,1,2.415608737,1,2.268622387,1,,
ageCat4,1.791061851,0.608222739,1.871376122,0.721111119,1.883029194,0.697292876,2.000474105,0.682224277,,
ageCat5,1.553148103,0.528799047,1.379157573,0.634615283,1.560804691,0.569753,1.416102789,0.575411522,,
ageCat6,0.91139698,0.450152032,1.023475021,0.488653179,1.135361117,0.547457024,1.161647458,0.427661563,,
ageCat7,0.814664534,0.37986501,0.878157776,0.416334884,0.900366011,0.522244762,1.19468445,0.444127899,,
ageCat8,0.638664878,0.381946455,0.907814334,0.448388588,0.837926638,0.421201873,0.858697357,0.308100472,,
, , , , , , , , , ,
ageCat1,0.999944132,1.000024163,0.999933802,0.999905922,1.00014281,0.999849216,0.999942662,1.000066212,relative.walk.speed,
ageCat2,1.000010409,0.999975646,0.999980904,0.999978143,1.000006805,1.000003483,1.000090464,1.000072347,,
ageCat3,0.999990405,1,1.000019653,1,1.000005757,1,1.000099263,1,,
ageCat4,0.99995613,0.999990615,1.000043729,1.000017324,0.999991932,0.999977896,1.000077039,1.00005599,,
ageCat5,0.99997538,1.000003312,0.999987096,1.00001723,1.000024554,1.000001151,1.000121269,1.000097985,,
ageCat6,1.000038325,0.999981803,1.000056101,1.000085083,0.999919605,0.999971986,1.000124307,1.000149422,,
ageCat7,1.000023715,1.000081754,1.000023616,0.999977544,1.000110023,0.999916965,1.000232455,1.000057791,,
ageCat8,1.000015485,1.000062534,1.000019017,1.000076021,0.999976461,0.999873393,1.000149271,1.000229023,,
, , , , , , , , , ,
ageCat1,1.000040841,1.000101295,0.999945104,0.999904243,0.999972312,1.000147473,0.999996619,1.00000715,relative.cycle.speed,
ageCat2,0.999971995,0.999993192,0.999984351,0.99995557,0.999950876,0.999900137,1.000008201,0.999987469,,
ageCat3,0.999952638,1,0.99999196,1,0.999988266,1,0.999997481,1,,
ageCat4,0.999946147,0.999961011,1.000010196,0.999981534,0.999923021,1.000042529,1.000017701,0.999978075,,
ageCat5,0.999942635,0.999960123,0.99999633,0.999977639,0.999977257,0.999921365,0.999977504,0.999998647,,
ageCat6,0.999970193,0.999968571,0.999961282,1.000072361,0.999951685,1.000014551,1.000027616,1.000003128,,
ageCat7,0.999967116,0.999972109,1.000117939,0.999891806,1.000020268,0.999903072,1.000059048,1.000001273,,
ageCat8,0.999984145,0.99996472,0.999962228,0.999990459,0.999993276,0.99998419,1.000170778,1.000069668,,
,,,,,,,,,,
ageCat1,0.309690397,0.240854493,0.334738386,0.351637145,0.274778729,0.418655268,0.490980571,0.489715075,relative.walk.time,SUT
ageCat2,1.860226506,2.046567378,1.841796761,1.898597469,1.546127865,1.464136871,1.759054952,1.701399405,,
ageCat3,0.766909557,1,0.923261529,1,0.835299372,1,0.956331123,1,,
ageCat4,0.721522398,0.958409382,0.800568305,0.995430363,0.59061979,0.80848508,0.728855974,0.835337269,,
ageCat5,0.732274333,0.979636843,0.724835114,0.936660202,0.54325497,0.787051794,0.714864139,0.773883446,,
ageCat6,0.493184205,0.765293271,0.618922413,0.681672144,0.562124842,0.649850524,0.582860092,0.763546026,,
ageCat7,0.475703903,0.49279639,0.568838025,0.554731394,0.378775596,0.506538886,0.495319472,0.464742448,,
ageCat8,0.533105572,0.617816121,0.417213819,0.499124088,0.38048616,0.310252376,0.536509627,0.385564567,,
, , , , , , , , , ,
ageCat1,0.612483099,0.080580702,0.643629833,0.482336924,0.680520248,0.346590492,0.29214296,0.58433235,relative.cycle.time,
ageCat2,2.950889105,1.770270301,2.695796013,1.055210577,4.113033368,1.944523674,2.844499736,1.273598215,,
ageCat3,2.528698532,1,2.45000613,1,2.740834371,1,2.61460504,1,,
ageCat4,2.583768159,0.629733598,2.169010505,0.559721238,2.514086168,0.897613592,1.666772247,0.698635663,,
ageCat5,2.531209527,0.934981373,1.641449142,0.288870348,1.979743716,0.644721964,0.929873126,0.475354159,,
ageCat6,1.585525821,0.451810482,0.6216755,0.393958936,1.072134771,0.404194717,1.231423305,0.151732294,,
ageCat7,0.774875012,0.278237916,0.462309442,0.280944996,0.769886802,0.104936891,1.128947961,0.586764145,,
ageCat8,0.989138594,0.404418026,0.27489903,0.259140354,1.366460896,0.369667344,0.163793448,0.239027446,,
, , , , , , , , , ,
ageCat1,0.999719645,0.999736751,1.000209495,0.999436878,1.000067684,1.001047902,1.000431731,1.000436593,relative.walk.speed,
ageCat2,1.000496185,1.000351602,1.000168919,1.00057151,0.999907035,0.999987051,1.000540564,1.000168973,,
ageCat3,1.000302724,1,0.999815696,1,1.000285628,1,1.000040453,1,,
ageCat4,1.000491874,1.00051239,1.000258656,1.000070511,0.999636599,1.000045428,1.000561408,1.00060957,,
ageCat5,1.000155307,1.000267629,1.00036724,0.999836741,0.999909646,1.000071929,1.000648981,1.000327123,,
ageCat6,1.00029348,1.000389554,1.000319701,1.000337441,1.000526024,0.99997432,1.00018691,1.000395421,,
ageCat7,0.999916939,1.000641179,1.000574606,0.999917758,0.999866683,1.000020149,1.000939483,1.000299201,,
ageCat8,0.999584943,1.000114199,1.000705407,0.999769923,0.999446919,0.999411264,1.000195016,0.999423617,,
, , , , , , , , , ,
ageCat1,0.999362838,1.000397888,1.000449306,0.999605408,0.999468628,1.000227836,1.000431116,0.999528966,relative.cycle.speed,
ageCat2,0.999863607,1.00006397,0.999617734,0.999999264,0.999875708,1.000068612,0.999799551,0.999583087,,
ageCat3,0.999890029,1,0.999808132,1,1.000049994,1,0.999856381,1,,
ageCat4,0.999838929,1.000089793,0.999884167,0.99971892,1.000258603,1.000052044,0.9997485,0.999549683,,
ageCat5,0.999894732,0.999886802,0.99968123,0.99972945,1.000208189,1.000380688,0.999647765,0.999700234,,
ageCat6,0.999444548,0.999619694,0.99976413,0.999827247,0.999565308,1.000513507,0.99964467,0.999407599,,
ageCat7,0.999136873,1.00012444,1.000012346,0.999946858,0.999526912,1.000580508,0.999859682,0.999095697,,
ageCat8,1.000584798,0.999924215,1.001357706,1.000510033,1.000334869,1.000501823,1.002065014,0.997500087,,
,,,,,,,,,,
ageCat1,0.236623394,0.216128647,0.337061614,0.354778735,0.354507463,0.371302823,0.404107329,0.416332026,relative.walk.time,YOL
ageCat2,1.278745934,1.327155055,1.197552096,1.265766366,1.142164989,1.153962835,0.984987152,1.143343995,,
ageCat3,0.693064458,1,0.840346743,1,0.791860274,1,0.780287493,1,,
ageCat4,0.666287495,0.90206988,0.716933694,0.966464598,0.76175721,0.926552809,0.740467891,0.854082552,,
ageCat5,0.701188696,0.958278855,0.784383803,0.886355553,0.834084097,0.940608124,0.706695159,0.863754915,,
ageCat6,0.541340399,0.7894009,0.715758013,0.867444127,0.651804468,0.836573082,0.724045275,0.778441564,,
ageCat7,0.532965414,0.69674435,0.701759289,0.858043245,0.620449689,0.845688389,0.693030492,0.777998762,,
ageCat8,0.497969333,0.62362334,0.65719431,0.755723508,0.715146078,0.590455397,0.60752821,0.465941257,,
, , , , , , , , , ,
