"","demogr1_walk","demogr1_cycle","demogr2_walk","demogr2_cycle","demogr3_walk","demogr3_cycle","demogr4_walk","demogr4_cycle",""
"county1","14.3374725556751","1.61093128570246","9.51379953379953","0.497995337995338","19.345152112232","2.56039013240858","18.7357100157907","2.8930701556508","2012"
"county2","21.6737258029078","2.09265363022676","23.4968053491828","2.42051263001486","23.0001144315469","2.31199967070058","25.6870211747544","3.25736056344449",""
"county3","33.1826111896214","3.67165335136174","39.2698584455927","4.57566117672387","37.5740199544321","4.27226881691523","40.0650356771735","4.7060364853943",""
"county4","33.0244992947814","3.09579411589424","40.0003227633069","3.18214609286523","39.2123121926931","3.36671376112529","41.2244800622447","4.02283096673799",""
"county5","38.641721915856","28.0307255715968","36.2238372093023","25.1839970930233","42.5261106454317","48.4429149203688","44.6055778683901","32.4482519702806",""
"county6","23.0894909840289","2.18530731581659","29.5447826086956","3.75451086956522","28.7045288634761","2.98434557844443","30.0949151230836","3.23305073269817",""
"","","","","","","","","",""
"county1","15.5019188219804","1.52957685730284","5.17028099173554","0.496710743801653","17.1953212776995","2.11558956495961","18.5041726074746","2.17961384748326","2020"
"county2","21.0208116649239","2.2065532705937","19.462206779661","1.54844745762712","22.4012076721538","2.65402219585743","26.0096855096331","3.33416198734102",""
"county3","34.5821149654958","3.91281973914083","39.9982275075334","4.71574400918353","38.0200066411721","4.40324621122704","40.3725533152446","4.9014679574044",""
"county4","32.4245778368991","2.90486679229945","38.7318139534884","4.45322093023256","37.3432030745761","3.81205714956287","39.7431656340679","3.68616069327896",""
"county5","41.2571726447023","31.9469662187299","41.9061080252825","27.669038498372","43.9081873056039","56.5636514840002","45.7372741749978","38.8539377451414",""
"county6","24.0513004095963","2.30523885313049","29.9959446366782","1.38919723183391","27.5175545003238","2.69348658176847","30.0287748787809","3.13647194643269",""
"","","","","","","","","",""
"county1","16.6454790629804","1.92011028741173","11.7907824726135","0.531956181533646","19.3092144228982","2.37736757326064","18.0081247354311","2.60742345138987","2036"
"county2","22.9209672708486","2.37036373680616","28.9014368573688","2.27799894542578","26.0432374184529","2.86335255514135","27.7942277449087","2.96840499475277",""
"county3","40.2036452013937","4.60498162939723","45.758495836389","5.47274650469589","44.395201492671","5.25448476999506","46.3618390540095","5.8725415387512",""
"county4","33.9216932114516","2.95217830805036","33.4261740707162","3.92872620126927","38.095655941735","3.67860744906426","40.8974135126009","4.02199066826289",""
"county5","53.2227963528013","29.1565221969144","54.8405830415588","26.268019485462","54.7531665709109","50.9658098731604","57.5306299477446","35.7110846297075",""
"county6","26.246460578026","2.26061657358831","30.9535926365796","3.33826009501188","29.4473917016999","3.14007128495705","34.1215065553301","3.09691002029031",""
