"","demogr1_walk","demogr1_cycle","demogr2_walk","demogr2_cycle","demogr3_walk","demogr3_cycle","demogr4_walk","demogr4_cycle",""
"county1","14.2315642994242","2.13235866340953","13.3883945398219","1.56112333806635","14.0950851788756","1.75677683134583","17.5377691261896","1.92700778642937","2012"
"county2","24.7432961472919","2.66402751181462","23.0856153552778","2.43357302118172","21.015681998716","2.07751901544086","21.8184822912179","2.13574473813773",""
"county3","43.9652093754957","5.41526251916874","37.0300115923615","4.32308769472181","31.2262096854576","3.34497814293241","31.135226943672","3.09760025739434",""
"county4","42.7086196015815","3.74922065085158","39.1146218113337","3.5941195000856","30.7179749534915","3.05335813784654","29.3965833792639","2.94445403882663",""
"county5","47.7970552573199","55.2681846200742","43.0367303576888","24.5073035768878","36.477946079006","18.8778898136209","35.386711155017","25.7243162436241",""
"county6","30.8879970646637","3.73756971423638","26.2937865552602","2.59145925644596","23.4276480244538","1.79797294237518","18.9097827773468","1.64723816912335",""
"","","","","","","","","",""
"county1","14.0603519709585","2.15089452708835","14.504182125773","1.67133881694085","15.1613142118518","1.3447453812039","18.1269639953542","1.64581416957027","2020"
"county2","23.3876756622854","2.91864176842596","22.2391500924214","2.4868494146642","20.780340167264","2.19331861409797","21.4939486388294","2.22620116458468",""
"county3","42.9007251487121","5.64525019779447","37.2100590665809","4.53352533558831","33.1593898680967","3.45500163298847","33.9400358075923","3.32111727433323",""
"county4","40.9854825815915","3.77599559955996","36.4888571623279","3.31487733406024","30.9362390350877","2.98238613360324","30.4242649908643","2.92824096118709",""
"county5","48.8814083171667","64.2506247356214","42.4263046522176","29.1609201885341","40.2896266486874","21.4966000168556","38.9020051413882","28.3225655526992",""
"county6","31.0096034398435","3.33470288555592","25.755928814633","2.32125188059229","24.3010721830079","2.26860374053274","20.9696007984032","2.03155688622754",""
"","","","","","","","","",""
"county1","15.2901256670683","2.22973317266311","15.4444105188846","2.08012530885987","16.4810015586215","1.87306067078451","18.9653351770068","2.0359814033553","2036"
"county2","25.1199454422193","2.89783383012838","23.9126601480989","2.47386848374051","23.0132929760527","2.20134825959227","23.9419491284685","2.52328699179601",""
"county3","47.3998189931968","6.26701809670651","43.8322044537927","5.47586187320679","39.2471808874447","4.24108585734832","40.1607048677893","4.10867698196102",""
"county4","42.278042930416","3.61088054789647","36.3644251064618","3.64732827254212","32.1076867276521","2.98906403466538","33.8825310608474","3.07628703408729",""
"county5","57.6699073576639","55.0515933049198","58.1782347894035","26.9571783596611","52.4667346354123","21.0108749431253","50.0170495091312","28.7264889686477",""
"county6","33.6184156723063","3.20898949243099","28.1392919788971","2.73028226754931","27.4559305324459","2.27344800332779","24.2449507716871","2.04580494944119",""
