Disease,Age,deaths,yll,yld,daly,US,deaths_nhw,deaths_nhb,deaths_nhothers,deaths_ho,Target
Dementia,femaleAgeClass 3,13.38456,859.191,0,859.191,,0.108032525,0.108032525,0.108032525,0.108032525,
Dementia,femaleAgeClass 4,32.00333,1512.452,344.996,1857.446,,0.245843491,0.245843491,0.245843491,0.245843491,
Dementia,femaleAgeClass 5,485.4946,15556.44,32693.96,48250.37,,3.709697244,3.709697244,3.709697244,3.709697244,
Dementia,femaleAgeClass 6,2182.666,49122.5,51734.1,100856.6,,16.08290342,16.08290342,16.08290342,16.08290342,
Dementia,femaleAgeClass 7,11473.4,160299.5,102646.9,262946.1,,92.04917486,92.04917486,92.04917486,92.04917486,
Dementia,femaleAgeClass 8,92582.4,506944,336824,843768,,832.5471062,832.5471062,832.5471062,832.5471062,
Depression,maleAgeClass 1,0,0,53.2081,53.2081,,0,0,0,0,
Depression,maleAgeClass 2,0,0,87849.1,87849.1,,0,0,0,0,
Depression,maleAgeClass 3,0,0,256471.6,256471.6,,0,0,0,0,
Depression,maleAgeClass 4,0,0,283627.2,283627.2,,0,0,0,0,
Depression,maleAgeClass 5,0,0,296923.6,296923.6,,0,0,0,0,
Depression,maleAgeClass 6,0,0,108245.9,108245.9,,0,0,0,0,
Depression,maleAgeClass 7,0,0,49590.6,49590.6,,0,0,0,0,
Depression,maleAgeClass 8,0,0,30111.5,30111.5,,0,0,0,0,
Depression,femaleAgeClass 1,0,0,88.4706,88.4706,,0,0,0,0,
Depression,femaleAgeClass 2,0,0,140782.9,140782.9,,0,0,0,0,
Depression,femaleAgeClass 3,0,0,405301,405301,,0,0,0,0,
Depression,femaleAgeClass 4,0,0,468518,468518,,0,0,0,0,
Depression,femaleAgeClass 5,0,0,521252,521252,,0,0,0,0,
Depression,femaleAgeClass 6,0,0,203111.4,203111.4,,0,0,0,0,
Depression,femaleAgeClass 7,0,0,106448.3,106448.3,,0,0,0,0,
Depression,femaleAgeClass 8,0,0,90512,90512,,0,0,0,0,
Diabetes,maleAgeClass 1,13.9099,1181.96,2794.14,3976.1,,0.111278125,0.111278125,0.111278125,0.111278125,
Diabetes,maleAgeClass 2,13.40931,1005.062,6466.73,7471.79,,0.107668211,0.107668211,0.107668211,0.107668211,
Diabetes,maleAgeClass 3,236.9785,14559.01,19363.77,33922.78,,1.887763019,1.887763019,1.887763019,1.887763019,
Diabetes,maleAgeClass 4,1388.844,65603.9,78132.2,143736.3,,10.61078092,10.61078092,10.61078092,10.61078092,
Diabetes,maleAgeClass 5,6810.29,227513.1,194181.8,421695,,43.45809966,43.45809966,43.45809966,43.45809966,
Diabetes,maleAgeClass 6,8800.6,203952.6,130067.9,334020,,48.59094911,48.59094911,48.59094911,48.59094911,
Diabetes,maleAgeClass 7,10205.59,150476.2,87594.3,238071,,61.59410104,61.59410104,61.59410104,61.59410104,
Diabetes,maleAgeClass 8,13867.2,88267.1,52907.9,141175,,68.43817066,68.43817066,68.43817066,68.43817066,
Diabetes,femaleAgeClass 1,12.4541,1059.08,2343.74,3402.81,,0.0995637,0.0995637,0.0995637,0.0995637,
Diabetes,femaleAgeClass 2,14.13988,1061.49,5917.75,6979.23,,0.113572848,0.113572848,0.113572848,0.113572848,
Diabetes,femaleAgeClass 3,179.4615,11047.18,17548.5,28595.65,,1.448510743,1.448510743,1.448510743,1.448510743,
Diabetes,femaleAgeClass 4,912.411,43186.83,67573.5,110760.2,,7.008967689,7.008967689,7.008967689,7.008967689,
Diabetes,femaleAgeClass 5,4679.351,155357.8,177960.3,333317.7,,29.42833022,29.42833022,29.42833022,29.42833022,
Diabetes,femaleAgeClass 6,7076.68,163031.8,131766.8,294798,,34.90332064,34.90332064,34.90332064,34.90332064,
Diabetes,femaleAgeClass 7,9963.94,145243.9,103044.1,248288,,55.77701404,55.77701404,55.77701404,55.77701404,
Diabetes,femaleAgeClass 8,21881.3,119813,87198,207011,,78.36139899,78.36139899,78.36139899,78.36139899,
