,demogr1_walk,demogr1_cycle,demogr2_walk,demogr2_cycle,demogr3_walk,demogr3_cycle,demogr4_walk,demogr4_cycle,
county1,16.64547906,1.920110287,11.79078247,0.531956182,19.30921442,2.377367573,18.00812474,2.607423451,2036
county2,22.92096727,2.370363737,28.90143686,2.277998945,26.04323742,2.863352555,27.79422774,2.968404995,
county3,40.2036452,4.604981629,45.75849584,5.472746505,44.39520149,5.25448477,46.36183905,5.872541539,
county4,33.92169321,2.952178308,33.42617407,3.928726201,38.09565594,3.678607449,40.89741351,4.021990668,
county5,53.22279635,29.1565222,54.84058304,26.26801949,54.75316657,50.96580987,57.53062995,35.71108463,
county6,26.24646058,2.260616574,30.95359264,3.338260095,29.4473917,3.140071285,34.12150656,3.09691002,
