,demogr1_walk,demogr1_cycle,demogr2_walk,demogr2_cycle,demogr3_walk,demogr3_cycle,demogr4_walk,demogr4_cycle,
county1,15.29012567,2.229733173,15.44441052,2.080125309,16.48100156,1.873060671,18.96533518,2.035981403,2036
county2,25.11994544,2.89783383,23.91266015,2.473868484,23.01329298,2.20134826,23.94194913,2.523286992,
county3,47.39981899,6.267018097,43.83220445,5.475861873,39.24718089,4.241085857,40.16070487,4.108676982,
county4,42.27804293,3.610880548,36.36442511,3.647328273,32.10768673,2.989064035,33.88253106,3.076287034,
county5,57.66990736,55.0515933,58.17823479,26.95717836,52.46673464,21.01087494,50.01704951,28.72648897,
county6,33.61841567,3.208989492,28.13929198,2.730282268,27.45593053,2.273448003,24.24495077,2.045804949,
