,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat5,0.999943352,1.000071944,0.999838814,1.000024519,1.000434236,1.000489705,0.999943249,1.000065822,,
ageCat6,1.000170319,1.000080696,0.999258524,0.999360193,1.000601918,1.000953328,1.000015904,1.000270975,,
ageCat7,0.999933718,1.000110326,0,0,0.999834754,1.000427377,0.99968765,1.00004762,,
ageCat8,1.000063738,0.99998434,0,0,0.999315015,0.996525813,1.000830743,0.999645833,,
,,,,,,,,,,
ageCat1,0.284905333,0.255084278,0.202244869,0.249295333,0.279461374,0.287644829,0.213378845,0.23618961,relative.walk.time,SAC
ageCat2,1.525015697,1.589279467,1.520178869,1.661667298,1.503715315,1.52429225,1.506053083,1.605562859,,
ageCat3,0.867101599,1,0.835440069,1,0.825430461,1,0.867784716,1,,
ageCat4,0.73738194,0.839074177,0.674684786,0.871081065,0.697260496,0.797919956,0.702439708,0.833589637,,
ageCat5,0.73243605,0.845753906,0.693763146,0.819267918,0.704552142,0.761199927,0.682754333,0.790794681,,
ageCat6,0.643010974,0.731053156,0.58793404,0.694403124,0.546472929,0.659222539,0.569317719,0.7284742,,
ageCat7,0.569994676,0.616700254,0.424824613,0.498157194,0.51066147,0.528692709,0.510358292,0.611084109,,
ageCat8,0.516434758,0.628389743,0.433344121,0.489361456,0.484450896,0.536158415,0.341502439,0.617909735,,
, , , , , , , , , ,
ageCat1,0.568083721,0.241318788,0.314542331,0.124764495,0.571212003,0.21886971,0.438366623,0.22824657,relative.cycle.time,
ageCat2,2.12686778,0.993653515,1.796067183,0.962499509,1.949264597,0.976896276,2.189883784,1.143114059,,
ageCat3,2.207120719,1,1.870092487,1,2.111646315,1,2.385267384,1,,
ageCat4,1.650932297,0.611530028,1.630054197,0.568432786,1.635762123,0.534713024,1.819623417,0.729649163,,
ageCat5,1.305066656,0.503115119,1.247833864,0.393230384,1.118339131,0.406192284,1.533666994,0.522478881,,
ageCat6,0.840138626,0.429608579,0.931547119,0.450310599,0.887519919,0.396308595,1.148100825,0.425972664,,
ageCat7,0.889454038,0.379370418,0.748077008,0.385422127,0.871048742,0.464983147,0.887880196,0.5104216,,
ageCat8,0.781511691,0.427429372,0.652128816,0.353486538,0.800537681,0.335687054,0.989494334,0.423038758,,
, , , , , , , , , ,
ageCat1,1.000197458,0.999792724,1.000092664,1.000138121,1.000120897,1.000125512,1.000026353,1.000134309,relative.walk.speed,
ageCat2,1.00000756,0.999993263,1.000086117,1.000053381,1.00002189,1.000054181,1.000091748,1.00013259,,
ageCat3,0.999979788,1,1.000014306,1,0.999982198,1,1.00001205,1,,
ageCat4,0.999995539,1.000038062,1.000083422,1.000024275,1.000011357,0.999993172,1.000027744,1.000041474,,
ageCat5,0.999941221,1.000060058,1.000130956,1.000015032,1.000022128,0.99997758,1.000132783,1.000031271,,
ageCat6,1.000008172,0.999988393,0.999802438,1.000135824,0.999963854,1.000065572,1.000070166,1.000099184,,
ageCat7,0.999971805,0.999986438,1.000192014,1.000238671,1.000150501,0.999879086,1.000105277,0.999907748,,
ageCat8,0.999927032,1.000041009,0.999922247,0.999808405,1.000073008,1.000038527,0.999767686,1.000061406,,
, , , , , , , , , ,
ageCat1,0.999975498,0.999919892,0.999849724,0.999861056,0.999961555,1.000257739,1.000087053,1.000109138,relative.cycle.speed,
ageCat2,0.999998145,0.999949143,1.000041945,0.9999179,1.000026454,1.000105299,1.000041727,1.000006909,,
ageCat3,1.000037698,1,0.999940044,1,1.000033345,1,1.000014687,1,,
ageCat4,0.99998757,1.000030073,1.000042576,1.000079814,1.00008404,1.00004328,1.000039402,1.000043755,,
ageCat5,1.000032863,1.000021307,1.000075214,0.999987126,1.00002676,1.000001553,1.000006643,1.000033227,,
ageCat6,0.999997164,1.000081452,1.000094643,1.000173392,0.999988393,1.000089819,1.000123089,1.000114097,,
ageCat7,1.000039998,1.000021596,0.999998077,1.000027507,0.999994337,1.00006297,1.000160174,1.000196629,,
ageCat8,1.000038971,1.000052243,0.999939077,0.999855793,1.000061201,0.999918039,1.000061444,1.00005821,,
,,,,,,,,,,
ageCat1,0.289208378,0.379360102,0.14115467,0,0.368525093,0.322119282,0.362498806,0.306710681,relative.walk.time,SUT
ageCat2,1.651780648,1.812812651,2.433156629,1.823546312,1.851962993,2.031032842,1.742700442,1.68791225,,
ageCat3,0.86225107,1,1.08738115,1,0.978898911,1,0.764361243,1,,
ageCat4,0.668414035,0.866659226,0.406809033,0.836035671,0.703577199,0.93030964,0.629481564,0.837102947,,
ageCat5,0.6685834,0.808561987,0.84898505,0.937900359,0.768587392,1.159790557,0.594373367,0.760095018,,
ageCat6,0.560092544,0.652481753,0,0.316049245,0.564761867,0.655319689,0.492363267,0.624688261,,
ageCat7,0.513039439,0.61969624,0,0,0.507436923,0.614235826,0.657671234,0.553705207,,
ageCat8,0.356962247,0.617072561,0,0,0.608824289,0.477514019,0.502517328,0.676529501,,
, , , , , , , , , ,
ageCat1,1.101983872,0.46304519,0.52519391,0,0.297309843,0,0.446100631,0.275981829,relative.cycle.time,
ageCat2,2.720442554,1.367142483,3.739782194,0.84474492,3.087586794,1.661618378,2.62727996,1.321677371,,
ageCat3,2.084557899,1,1.855032865,1,2.72276223,1,1.918234067,1,,
ageCat4,1.657784027,0.63709095,1.716580485,2.011169285,2.389645681,0.622182104,1.343291175,0.546674736,,
ageCat5,1.422165771,0.283310599,0.421751534,0,2.004361662,0.508566143,0.708632162,0.181994106,,
ageCat6,0.90567075,0.249382149,0,0,0.765847849,0.339989027,1.0983252,0.277574586,,
ageCat7,1.02425716,0.351584805,0,0,0.561205644,0.370049095,0.611122983,0.497521395,,
ageCat8,1.115111763,0.170089566,0,0,1.04079517,0.309781152,0.813261207,0.419609113,,
, , , , , , , , , ,
ageCat1,0.999891611,1.000239092,0.998674544,0,1.000758704,0.999547774,1.000340444,0.999994857,relative.walk.speed,
ageCat2,1.000337842,1.000343988,0.999805656,0.999709039,1.000044256,0.999720855,0.999832918,1.000073518,,
ageCat3,1.000351433,1,0.999513512,1,0.999668947,1,0.999994514,1,,
ageCat4,1.000457497,1.000174647,1.000510333,1.001144472,1.000102403,0.999709211,0.999940173,1.000208767,,
ageCat5,1.000345595,1.000457724,1.000959267,0.999966534,0.999665318,0.999606386,1.000192712,1.000183868,,
ageCat6,1.000117063,1.000188589,0,1.001808032,0.999496563,0.999643522,0.999256025,1.000238142,,
ageCat7,1.00030607,1.00051684,0,0,0.999871235,1.000031027,0.99987939,1.000159177,,
ageCat8,1.000435508,1.000216552,0,0,0.999886059,1.000778486,1.001080148,0.999751976,,
, , , , , , , , , ,
ageCat1,0.999745202,1.000456248,0.999856384,0,1.000505099,0,1.000502725,0.999921841,relative.cycle.speed,
ageCat2,0.999916238,0.999770094,0.999943662,1.000110477,0.999944706,1.000189497,1.000168391,1.000019836,,
ageCat3,0.99991302,1,0.999633946,1,1.000092026,1,1.000362745,1,,
ageCat4,0.999946228,0.999967131,0.999368343,0.999856384,1.000160499,0.999663346,1.000025912,0.999956651,,
ageCat5,0.999856418,0.999873992,1.000449067,0,0.9998528,1.00019372,1.00042813,0.99938678,,
ageCat6,0.999716689,0.999766558,0,0,1.000374681,1.000341217,1.00004529,0.99979007,,
ageCat7,0.999949816,1.00016944,0,0,1.0001816,0.998926245,0.999655286,0.999680063,,
ageCat8,0.999879826,1.000444107,0,0,0.999939541,0.998975107,0.999004831,0.999524765,,
,,,,,,,,,,
ageCat1,0.335166806,0.305352799,0,0,0.180109942,0.333118611,0.230567102,0.321939643,relative.walk.time,YOL
ageCat2,1.084826346,1.394500736,0.883442574,0,1.210449707,1.134807908,1.172724278,1.316850839,,
ageCat3,0.747309955,1,0.377810885,1,0.752110645,1,0.794614294,1,,
ageCat4,0.611388919,0.833622191,0.394668308,0.828641975,0.561145589,0.791946223,0.650780478,0.888085509,,
ageCat5,0.662853213,0.790610274,0.493398337,0.545018744,0.544589608,0.73088977,0.632488428,0.77219677,,
ageCat6,0.6001241,0.804964611,0.053864448,0.437876905,0.643785021,0.626271196,0.671756412,0.668241587,,
ageCat7,0.719785031,0.682246362,0.438107241,0.384421802,0.567665909,0.678839537,0.523584405,0.774915745,,
ageCat8,0.625175106,0.656126933,0.282286408,0.431742853,0.525689427,0.701014543,0.54496162,0.798043875,,
, , , , , , , , , ,
ageCat1,0.129905761,0.073338801,0,0,0.110418961,0.031770889,0.093802646,0.048780403,relative.cycle.time,
ageCat2,0.576255863,0.385985925,0.164188688,0,0.454268135,0.268575295,0.453441961,0.278248803,,
ageCat3,1.376113928,1,0.406653543,1,1.37159204,1,1.29046718,1,,
ageCat4,0.561592349,0.30343332,0.186292566,0.228317149,0.36042219,0.240786563,0.420124166,0.290036201,,
ageCat5,0.357551121,0.257843743,0.198006427,0.11994988,0.272205639,0.186369539,0.328962012,0.25685155,,
ageCat6,0.342178392,0.257916038,0.082312459,0.152999578,0.127003374,0.204995533,0.21167062,0.189889466,,
ageCat7,0.296980042,0.166058878,0.140984629,0.071027233,0.16428897,0.12500427,0.160557143,0.13132394,,
ageCat8,0.277455973,0.10080697,0.076299078,0.376012314,0.125164703,0.084494871,0.204092192,0.089751846,,
, , , , , , , , , ,
ageCat1,1.000355448,0.999713775,0,0,0.99972371,0.999462901,1.000060547,0.999994003,relative.walk.speed,
ageCat2,1.000052425,1.00001633,0.999624546,0,1.000259069,1.000061711,0.999997518,1.000152283,,
ageCat3,0.999983087,1,0.999399964,1,1.000063904,1,0.999964692,1,,
ageCat4,1.000122908,0.999929527,0.99948445,0.998991517,0.999988437,1.000219808,0.999910038,1.000042936,,
ageCat5,1.000046658,0.999918532,0.998903808,0.999247224,1.000140953,0.999911728,1.000095373,1.000181935,,
ageCat6,0.99979783,0.999889688,0.995742299,0.999294354,1.000128771,0.99980009,0.999924982,0.999823938,,
ageCat7,0.999977544,0.999947151,0.999133835,0.998948508,1.000330956,1.000229839,0.999735271,1.000241607,,
ageCat8,0.999958041,1.000100093,0.999322328,0.992132569,1.000195059,1.000101227,0.999908171,0.999677394,,
, , , , , , , , , ,
ageCat1,1.000066696,1.000035514,0,0,1.00029017,0.999527392,1.000174291,0.999912523,relative.cycle.speed,
ageCat2,0.999999492,1.000052317,1.000594128,0,0.999995184,1.000026083,1.000018635,1.000188169,,
ageCat3,1.000036159,1,1.000083164,1,0.9999832,1,1.00005391,1,,
ageCat4,0.999935802,0.999988406,0.999992974,0.999898155,1.000012465,0.999983202,0.999991224,1.00009462,,
ageCat5,1.000048685,1.000054221,1.000071057,1.000155584,0.999994416,1.000146734,0.999974287,1.000009069,,
ageCat6,1.000025095,1.000013301,1.000540338,0.999833396,0.999622865,0.999991132,1.000100896,0.999847084,,
ageCat7,1.000106709,0.999997959,0.999885452,1.000399963,1.000265136,0.999973242,0.999766316,0.999778314,,
ageCat8,0.999981357,1.000220849,0.999673425,0.999835062,1.000029226,0.999542203,1.00001719,1.000445939,,
,,,,,,,,,,
ageCat1,0.345258511,0.360099155,0.176396297,0,0.284124644,0.291924537,0.287118969,0.261128758,relative.walk.time,YUB
ageCat2,1.736187382,2.220895887,1.730210016,2.533594596,1.971751036,1.667174387,1.897402402,2.070396958,,
ageCat3,0.965815598,1,0.917732723,1,0.908432006,1,0.866861758,1,,
ageCat4,0.810917237,0.833514335,0.725102875,0.615857495,0.650364892,0.848398709,0.672010448,1.049171924,,
ageCat5,0.569795876,0.693975116,0.451390394,1.306441886,0.603450465,0.662600322,0.576716058,0.706727405,,
ageCat6,0.517092886,0.523082709,0,0.289846341,0.474401857,0.388855146,0.508971053,0.386540783,,
ageCat7,0.421694145,0.495865319,0,0,0.607581052,0.327620349,0.275945316,0.514472983,,
ageCat8,0.269804563,0.464123404,0,0,0.355236508,0.276869569,0.812265661,0.43447398,,
, , , , , , , , , ,
ageCat1,0.613028721,0.067429388,0,0,0.574960674,0.094409007,0.358309913,0.488565527,relative.cycle.time,
ageCat2,3.613535578,1.39633405,67.91366906,10.59781852,2.09903865,1.115506806,2.723589156,1.216396118,,
ageCat3,2.178044203,1,24.36278036,1,2.205329555,1,2.163945781,1,,
ageCat4,1.122955962,0.61592875,21.37629896,2.446889547,1.629927702,0.157132807,1.735861174,0.72287875,,
ageCat5,0.726767833,0.322372175,20.5918867,8.730260236,0.968961451,0.31343904,0.39089031,0.51705729,,
ageCat6,0.585142736,0.194574165,0,0,0,0,1.319236907,0.137227589,,
ageCat7,0.688257163,0.1708851,0,0,0.608306516,0.067566007,0.057561097,0,,
ageCat8,0.124541318,0.512713849,0,0,0.435177652,0,0,0,,
, , , , , , , , , ,
ageCat1,0.999448635,1.000710488,0.99975897,0,1.000006559,0.999189854,1.000250389,1.00013897,relative.walk.speed,
ageCat2,0.999940681,1.000189828,1.000247138,1.001132167,0.999860526,1.000121664,0.999779982,1.00002115,,
ageCat3,1.000101286,1,1.000236844,1,0.999903211,1,1.000055511,1,,
ageCat4,1.000160402,0.999791805,1.00157268,1.000272213,1.000078238,0.99966327,1.000197409,1.000060716,,
ageCat5,1.00019678,0.999779902,0.999709812,0.999991573,0.999602674,0.999120691,0.999547322,0.999763558,,
ageCat6,1.000285978,1.000270985,0,0.998236864,0.999765039,0.99885875,1.000900642,0.999760277,,
ageCat7,1.000172449,0.999715205,0,0,0.999910919,0.999311482,0.999284693,0.999382607,,
ageCat8,0.999787834,1.000380153,0,0,0.998359842,0.998468178,0.999007946,1.000883972,,
, , , , , , , , , ,
ageCat1,0.999968341,0.996499633,0,0,1.000821123,0.998255811,1.000703686,0.999914843,relative.cycle.speed,
ageCat2,0.999947209,1.00002806,1.007875906,1.015054488,0.999938895,0.999562744,1.000249239,0.999729942,,
ageCat3,1.000080046,1,1.007246377,1,0.999902927,1,1.000029808,1,,
ageCat4,0.999709813,1.00004416,1.008357515,1.007246377,1.00007131,0.998586946,1.00002645,0.999792438,,
ageCat5,0.999829651,1.000177823,1.00702897,1.008455556,0.999784935,0.999791849,0.999954459,1.000520615,,
ageCat6,1.000031824,0.999382397,0,0,0,0,0.999943986,1.001037082,,
ageCat7,0.999927957,0.999653327,0,0,0.999489328,0.999927931,1.008725534,0,,
ageCat8,0.998539169,0.999802196,0,0,0.999606307,0,0,0,,
