,demogr1_walk,demogr1_cycle,demogr2_walk,demogr2_cycle,demogr3_walk,demogr3_cycle,demogr4_walk,demogr4_cycle,
county1,15.50191882,1.529576857,5.170280992,0.496710744,17.19532128,2.115589565,18.50417261,2.179613847,2020
county2,21.02081166,2.206553271,19.46220678,1.548447458,22.40120767,2.654022196,26.00968551,3.334161987,
county3,34.58211497,3.912819739,39.99822751,4.715744009,38.02000664,4.403246211,40.37255332,4.901467957,
county4,32.42457784,2.904866792,38.73181395,4.45322093,37.34320307,3.81205715,39.74316563,3.686160693,
county5,41.25717264,31.94696622,41.90610803,27.6690385,43.90818731,56.56365148,45.73727417,38.85393775,
county6,24.05130041,2.305238853,29.99594464,1.389197232,27.5175545,2.693486582,30.02877488,3.136471946,
