,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat8,1.000349934,1.000225846,1.000456334,0.99987875,0.999608154,0.999659961,0.9992484,1.000075936,,
, , , , , , , , , ,
ageCat1,1.000104671,1.000361507,0.999136602,1.00033095,0.999965555,1.000114116,0.999801911,1.000329744,relative.cycle.speed,
ageCat2,0.999754988,1.000023835,1.000030864,0.999943339,1.000098184,1.000062026,1.000198854,1.000209633,,
ageCat3,0.999940042,1,1.000060906,1,0.999968711,1,1.000179991,1,,
ageCat4,0.999880241,1.000094205,1.000181877,1.000196228,1.000021381,0.999807543,1.000194206,1.000165396,,
ageCat5,0.999970121,1.000163456,0.999972718,1.000004692,0.999893828,1.000160803,1.000101312,1.000137939,,
ageCat6,0.999784372,1.000245798,1.000344079,1.000150772,1.000262978,1.000073483,1.000306109,1.00020949,,
ageCat7,1.000010232,1.000184705,0.999724708,1.000127266,0.99993467,1.000108575,0.999890217,0.999897277,,
ageCat8,1.000035446,0.999908495,1.00009595,0.999908863,1.000128791,0.999734396,1.000131226,0.999363666,,
,,,,,,,,,,
ageCat1,0.18726933,0.178336639,0.228612819,0.270290902,0.297950718,0.302832861,0.410503987,0.373842207,relative.walk.time,SAC
ageCat2,1.496281194,1.606082671,1.52188864,1.613344065,1.617913236,1.63703118,1.509113848,1.557914298,,
ageCat3,0.808689588,1,0.863600743,1,0.897896181,1,0.913905811,1,,
ageCat4,0.637460828,0.861897138,0.712542679,0.854273293,0.806634775,0.853751732,0.81284366,0.867748686,,
ageCat5,0.622698272,0.817403281,0.67966684,0.786138603,0.795543451,0.891961644,0.853971447,0.880477183,,
ageCat6,0.57177665,0.72981624,0.578315987,0.678134688,0.66589728,0.721284648,0.703398339,0.761207427,,
ageCat7,0.471828105,0.588850892,0.524503068,0.538264308,0.563086398,0.585601677,0.664257284,0.548946613,,
ageCat8,0.47268232,0.572134936,0.485532278,0.585254502,0.467795998,0.544551079,0.444588194,0.471026632,,
, , , , , , , , , ,
ageCat1,0.266879764,0.13129126,0.460473307,0.229914046,0.840817754,0.275222248,0.935108029,0.413942119,relative.cycle.time,
ageCat2,1.728052491,0.919413434,1.995543186,1.016301151,2.48548146,1.228722255,2.763595185,1.224861977,,
ageCat3,2.192091966,1,2.178260503,1,2.233947523,1,2.329708116,1,,
ageCat4,1.874633971,0.686224863,1.693609949,0.668373765,1.809163958,0.670544292,1.83986683,0.57448937,,
ageCat5,1.477055744,0.566845982,1.389731775,0.476924134,1.368195455,0.487848264,1.378416226,0.506159502,,
ageCat6,1.024455196,0.501665573,0.890902149,0.385549064,0.889728929,0.39243154,1.005147911,0.480929117,,
ageCat7,0.932234923,0.452310316,0.850020738,0.349952524,0.979068775,0.358391234,0.741417745,0.299758275,,
ageCat8,0.746096205,0.403476359,0.6841537,0.355332031,0.97475747,0.277719331,0.711951684,0.292757875,,
, , , , , , , , , ,
ageCat1,1.000122614,1.000213907,0.999875835,1.000002947,1.000164995,0.999930469,1.000284862,0.999863348,relative.walk.speed,
ageCat2,1.000097489,1.000055384,1.000017109,1.000055958,1.000033831,1.000027916,0.999966439,1.000069483,,
ageCat3,0.999972215,1,1.000013735,1,1.000006163,1,0.999970785,1,,
ageCat4,1.000039526,1.000037279,1.000037407,1.000055537,1.000001238,1.000038958,0.999976493,0.999968458,,
ageCat5,1.000038241,1.000038829,1.000037218,1.000038989,1.000026623,1.00004113,0.999948251,1.000041202,,
ageCat6,1.000066105,1.000081955,1.000009246,1.000051759,1.000108643,1.000042242,0.999845747,0.999945252,,
ageCat7,0.999902031,0.999984925,0.999981527,0.999987294,1.000159277,0.99997872,1.000159764,1.000032143,,
ageCat8,1.000095155,1.000099275,0.99986026,1.00001708,0.999838072,0.999925901,0.999991629,1.000042527,,
, , , , , , , , , ,
ageCat1,0.9999257,0.999842047,0.999950159,1.000362579,1.000150587,0.999918345,0.99986022,1.000043499,relative.cycle.speed,
ageCat2,1.000030725,1.000012909,1.000030133,0.999999501,1.000061687,1.000046692,0.999940218,0.999900058,,
ageCat3,1.000000054,1,1.000041587,1,1.000070302,1,0.999961629,1,,
ageCat4,1.000020103,1.000001214,1.000049751,1.000075272,1.000050192,1.000155509,0.999962778,0.999897272,,
ageCat5,1.000003984,1.000016606,1.000052549,1.000044112,1.000061807,1.000088295,1.000004795,0.999912102,,
ageCat6,0.999979472,1.000112473,1.000047565,1.000062102,1.000038499,0.999997377,1.000010672,1.000222748,,
ageCat7,0.999967348,1.000038477,1.000123665,1.000011912,1.000134849,1.000092111,0.999912175,1.000329885,,
ageCat8,1.00001776,1.000137506,1.00005625,0.999892174,1.000166776,0.999982161,0.999873055,0.999603043,,
,,,,,,,,,,
ageCat1,0.284943868,0.229820595,0.308186034,0.426848948,0.428519389,0.402570975,0.366350315,0.361306852,relative.walk.time,SUT
ageCat2,1.882932337,1.961034759,1.888482584,1.795443618,1.757683389,1.889195816,1.305267358,1.504940363,,
ageCat3,0.812231422,1,0.904144683,1,0.947455371,1,0.75540963,1,,
ageCat4,0.643111549,0.992310097,0.711961561,0.977288851,0.64365884,0.807465567,0.674947654,0.706124603,,
ageCat5,0.736778093,0.948163586,0.69387926,0.849624668,0.699808779,0.888934298,0.594842151,0.772139191,,
ageCat6,0.562526891,0.741588502,0.60108668,0.624677255,0.484561924,0.60963004,0.568521859,0.587880724,,
ageCat7,0.503475987,0.634827514,0.573664943,0.593639942,0.577664967,0.557912772,0.364039843,0.52624097,,
ageCat8,0.592029582,0.537044352,0.344425907,0.629710599,0.330548121,0.735715993,0.292295355,0.411827015,,
, , , , , , , , , ,
ageCat1,0.306412114,0.184493839,0.800879882,0.328861725,0.676456848,0.257842807,1.533202031,0.54153903,relative.cycle.time,
ageCat2,2.326276471,0.914214463,4.266868001,2.208704816,2.43500929,1.548360526,2.287135557,1.15808128,,
ageCat3,2.173682551,1,2.667184236,1,1.650633731,1,2.051703644,1,,
ageCat4,1.79962565,0.581720266,2.601085597,0.701508164,1.193352254,0.736476591,1.148357696,0.489005514,,
ageCat5,1.58467523,0.351801456,1.444159552,0.468637526,1.525846341,0.229276943,0.810608764,0.134720523,,
ageCat6,1.234173744,0.297486187,1.182140884,0.316993536,0.517499284,0.221695032,0.691515692,0.133019076,,
ageCat7,0.691941394,0.461039468,0.700444323,0.503322259,1.237426689,0.201450688,0.895785161,0.016475651,,
