,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat8,1.000123817,0.999931163,1.00051424,1.000336977,0.999889894,1.00012647,1.000626038,0.999902997,,
, , , , , , , , , ,
ageCat1,1.003060918,1.000261514,1.000008636,0.999536602,0.99989642,1.000139041,1.000317363,1.00016466,relative.cycle.speed,
ageCat2,1.000084067,1.000134215,1.000053991,1.00013048,1.000049236,1.000150638,1.000321439,1.000336729,,
ageCat3,1.000222144,1,1.000050134,1,0.999808826,1,1.000164589,1,,
ageCat4,1.000025799,1.000138033,0.999891677,0.999781592,0.999778418,0.999731005,1.000221881,1.000181689,,
ageCat5,1.000061919,1.000254698,0.999981851,1.000055064,0.999933032,0.999778763,1.000237264,1.000252982,,
ageCat6,1.000416199,1.000010682,0.999612423,1.000229456,0.999880468,0.999854826,1.000192825,1.000377085,,
ageCat7,0.999961875,1.000142027,1.000259736,1.000007139,0.999740658,0.999383891,1.000378151,1.000109442,,
ageCat8,1.000524603,1.000931771,0.999241625,0.999330398,1.000132486,0.997819371,0.999150114,0.999257595,,
,,,,,,,,,,
ageCat1,0.222893333,0.198288825,0.298170257,0.274791419,0.33733764,0.347430987,0.398193273,0.418727188,relative.walk.time,SAC
ageCat2,1.533753369,1.590417874,1.695149801,1.752178698,1.744737617,1.815339577,1.60290261,1.584679799,,
ageCat3,0.86709448,1,0.905682617,1,0.950470756,1,0.886110175,1,,
ageCat4,0.616565631,0.809737148,0.662169994,0.813933795,0.745743832,0.87320543,0.712003855,0.754940787,,
ageCat5,0.671607774,0.810667257,0.624767627,0.776747435,0.754513096,0.843382682,0.740485321,0.789329043,,
ageCat6,0.545413482,0.71607104,0.565241606,0.739892343,0.628084502,0.676622449,0.57987247,0.650727041,,
ageCat7,0.450021559,0.576088909,0.527984623,0.640399473,0.558960176,0.647271156,0.549973425,0.54630469,,
ageCat8,0.372400741,0.591968777,0.512641085,0.68214879,0.492676245,0.527269304,0.403076249,0.474096841,,
, , , , , , , , , ,
ageCat1,0.24556883,0.157589024,0.504380418,0.209667142,0.708622239,0.271767006,0.841984997,0.408229602,relative.cycle.time,
ageCat2,1.630166084,0.849639673,2.275684198,1.027793656,2.657042535,1.246889688,2.488658472,1.291300035,,
ageCat3,1.994070171,1,2.078969367,1,2.454886848,1,2.007365872,1,,
ageCat4,1.658871256,0.617462183,1.71310784,0.74087583,2.023796928,0.667008684,1.542822354,0.500668818,,
ageCat5,1.37929015,0.519977687,1.323238623,0.502733756,1.401187767,0.565284401,1.081476863,0.351034371,,
ageCat6,0.978509934,0.400225291,0.954580624,0.389061789,0.928015319,0.349219388,1.02546165,0.29794238,,
ageCat7,0.631952905,0.29685758,0.733103433,0.320976431,0.863179867,0.374761922,0.942371959,0.355848331,,
ageCat8,0.494843507,0.329879811,0.64858435,0.362449271,0.554614278,0.414903535,0.732997514,0.370307767,,
, , , , , , , , , ,
ageCat1,1.000149438,1.00015283,1.000024209,0.999976047,1.000299054,1.000099489,0.999956708,0.999822645,relative.walk.speed,
ageCat2,1.000133169,1.000144605,1.00003267,1.000028408,0.999957909,1.000011354,1.000016547,0.999974722,,
ageCat3,1.000045448,1,1.00000859,1,1.000023634,1,1.000019025,1,,
ageCat4,1.00011594,1.000122961,1.000090725,1.000049973,1.000011979,0.999952533,0.999960882,1.000009644,,
ageCat5,1.000115384,1.00013859,1.000105807,1.000003604,1.000006324,1.000005686,0.999977817,1.00000775,,
ageCat6,1.000188139,1.000074725,1.000011933,1.000082335,1.000183938,1.000046858,1.000015944,0.999879256,,
ageCat7,1.000044859,1.000108994,1.000007481,1.000098431,1.00012585,1.000167919,0.999885449,1.000019958,,
ageCat8,1.000050159,1.000042668,0.999959061,1.000047033,0.999770403,1.000123469,1.000202184,1.00003484,,
, , , , , , , , , ,
ageCat1,1.00008615,0.999867219,1.000007562,1.000095543,1.000007043,1.000062605,1.000075247,1.000218013,relative.cycle.speed,
ageCat2,1.000052015,1.000036911,0.999954765,1.000038216,1.000042896,1.000095306,1.000112055,1.000055132,,
ageCat3,0.999988637,1,1.000001021,1,1.000098143,1,1.000009088,1,,
ageCat4,1.000088755,1.000109302,1.000021207,1.00004096,1.000084733,0.999982954,1.000067111,1.000072409,,
ageCat5,1.000040935,1.000064842,1.000003719,1.000025345,1.000014787,1.000058855,0.99993506,0.999991211,,
ageCat6,1.000054158,1.000041431,0.999899912,0.999951843,1.000078356,1.000061246,1.000003932,1.000051894,,
ageCat7,1.000128697,1.00000861,1.000054725,1.000004528,0.999808562,1.000026217,0.999949744,1.000367737,,
ageCat8,0.999917689,1.000049758,1.00019329,0.999986942,0.999970838,1.000252404,0.999836085,0.999825234,,
,,,,,,,,,,
ageCat1,0.203524752,0.181827191,0.264798064,0.349484213,0.312535887,0.551084591,0.623591446,0.607458518,relative.walk.time,SUT
ageCat2,1.700618083,1.780382827,1.705601785,1.651395228,1.983797622,1.822105652,1.965432389,1.808391019,,
ageCat3,0.819116799,1,0.808079386,1,0.869475624,1,1.114415792,1,,
ageCat4,0.656307349,0.916785561,0.693278647,0.879628657,0.725300227,0.878801301,0.814322485,1.056897129,,
ageCat5,0.70876211,0.836428602,0.611601327,0.905853297,0.840852509,0.842612744,0.676239075,1.050227226,,
ageCat6,0.588120131,0.74479128,0.491121005,0.643962392,0.617743016,0.637410561,0.585573487,0.523823184,,
ageCat7,0.530512321,0.534568703,0.568789708,0.555095649,0.65141501,0.574187967,0.863843841,0.522828305,,
ageCat8,0.656852883,0.558831119,0.362407154,0.368108919,0.543069099,0.427887894,0.212583366,0.420733749,,
, , , , , , , , , ,
ageCat1,0.37211114,0.058273226,0.59463986,0.262400971,1.220520866,1.061272096,0.969482789,0.294653461,relative.cycle.time,
ageCat2,2.144486898,1.406996562,2.241538136,1.00001972,4.882013739,1.673363415,3.17344707,1.183524509,,
ageCat3,2.972954009,1,1.722903118,1,2.96915259,1,2.814203613,1,,
ageCat4,2.444553069,0.588807227,1.605628351,0.347710205,2.320963701,1.029741733,2.689820565,0.593287661,,
ageCat5,1.45482737,0.458686931,1.001078454,0.431996105,1.830943226,0.60896471,1.113054352,0.277256556,,
ageCat6,0.664221845,0.287404683,0.506342204,0.243995884,1.848256568,0.282611946,0.691495829,0.408553102,,
ageCat7,1.466646391,0.450267209,0.569849278,0.480452342,0.818959809,0.381668683,0.177844473,2.386428309,,
ageCat8,0.164511738,0.234314391,0.59737409,0.466056072,1.110262749,0.719619173,0.777266811,0.11957277,,
, , , , , , , , , ,
ageCat1,0.999982009,0.999895238,1.000195214,1.000095374,1.000843362,0.999735162,0.999744409,0.999244589,relative.walk.speed,
ageCat2,0.999919137,1.000278476,0.999933025,1.000189931,0.999596454,0.999637293,1.000001492,0.999495564,,
ageCat3,1.000114768,1,0.999979589,1,0.999589259,1,1.000102027,1,,
