,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat5,1.000072774,1.000096465,1.001683502,1.001683502,0.999872307,1.000021624,1.000218265,1.000331464,,
ageCat6,1.000020659,1.000138603,1.001943814,1.000940413,0.999653877,1.000284328,1.000478592,1.000072512,,
ageCat7,1.000164068,1.000004016,0,0,0.998491331,1.000463662,0.99981795,0.999836144,,
ageCat8,0.999753211,1.000118966,0,0,0,0.996852068,1.00021248,1.000072512,,
,,,,,,,,,,
ageCat1,0.310345566,0.321483464,0.286513593,0.297616071,0.267267472,0.266012372,0.287322757,0.243120125,relative.walk.time,SAC
ageCat2,1.619092458,1.717739653,1.723174127,1.812946418,1.568292567,1.549457575,1.624185338,1.654684107,,
ageCat3,0.913745769,1,0.953971606,1,0.837440541,1,0.89816643,1,,
ageCat4,0.676265477,0.815519811,0.713732119,0.851384028,0.646590341,0.735441438,0.627854732,0.795760836,,
ageCat5,0.713478919,0.814828454,0.727727971,0.893722349,0.596042181,0.716550747,0.647326763,0.749941346,,
ageCat6,0.570533038,0.723042556,0.497811812,0.68357193,0.556155031,0.680664929,0.631387919,0.696820645,,
ageCat7,0.549164386,0.647009424,0.473754594,0.690718845,0.491668419,0.584389873,0.450575838,0.63810688,,
ageCat8,0.493786148,0.694836321,0.541459632,0.536394521,0.388504359,0.602900796,0.322114923,0.582049302,,
, , , , , , , , , ,
ageCat1,0.467891425,0.211990599,0.400112918,0.175334922,0.555889775,0.276118834,0.407131714,0.215372142,relative.cycle.time,
ageCat2,2.161918793,0.970809802,1.991669653,0.998271496,2.164978384,1.090955895,1.963831659,1.02621158,,
ageCat3,2.049695799,1,1.85634191,1,2.184907922,1,2.126309081,1,,
ageCat4,1.561612621,0.583370806,1.418144315,0.611041993,1.797243111,0.5883519,1.672445349,0.667701023,,
ageCat5,1.134892965,0.448875523,1.424921491,0.545170124,1.29316625,0.475092506,1.236772018,0.431237063,,
ageCat6,0.863388218,0.388705073,0.878951933,0.5393985,1.160723638,0.247060727,0.8464435,0.260726225,,
ageCat7,0.755299635,0.342345704,0.584430334,0.228049384,0.760673654,0.313919867,0.769283315,0.446580556,,
ageCat8,0.621941627,0.417702198,0.549213443,0.418425359,0.685170622,0.367006094,0.373924003,0.242485073,,
, , , , , , , , , ,
ageCat1,1.000076323,1.00017145,1.000457255,1.00012545,1.000028813,0.999734516,1.000112653,1.000047209,relative.walk.speed,
ageCat2,1.000075106,1.000063376,1.000057945,1.00013155,1.000045652,1.000092585,1.000024646,0.999992285,,
ageCat3,1.000067178,1,0.999943528,1,1.000005565,1,1.00002363,1,,
ageCat4,1.000073491,1.000128171,1.000107486,1.000089327,1.000013206,1.000028281,1.000082095,0.999920055,,
ageCat5,1.00010748,1.000075285,0.99998478,1.000046459,1.000003103,1.00007644,1.000094772,1.000026912,,
ageCat6,1.000121386,1.000088602,1.000427448,0.999961858,1.000064408,1.000036587,1.000108958,0.999971186,,
ageCat7,1.000009239,1.000106313,1.000056177,1.000366179,1.000007481,1.000137718,1.00033089,0.999915587,,
ageCat8,0.999979597,1.000063299,1.000033013,0.999933995,1.000030959,0.999965428,1.000147442,1.000085999,,
, , , , , , , , , ,
ageCat1,1.000002365,1.000042885,1.000262887,1.000347098,0.999978228,0.999812281,1.000070713,1.00013252,relative.cycle.speed,
ageCat2,1.000047793,1.000088093,0.999975448,1.000014295,1.000075616,1.000007042,1.000008862,1.000064833,,
ageCat3,1.000001104,1,1.000030772,1,1.000007513,1,1.000040998,1,,
ageCat4,1.000048066,1.000072352,1.000083032,1.000122767,1.000090769,1.000059905,1.000072438,1.000007062,,
ageCat5,1.000007134,1.00002399,0.999980666,1.000080183,0.999972768,1.000037479,1.000062857,1.000086646,,
ageCat6,1.000027531,1.000008016,1.000192592,1.000004139,0.999892614,1.000101673,1.000023077,1.000058577,,
ageCat7,1.000036346,1.000055242,0.999806656,1.000263833,0.999960294,1.000052488,1.000086712,0.999955609,,
