,demogr1_walk,demogr1_cycle,demogr2_walk,demogr2_cycle,demogr3_walk,demogr3_cycle,demogr4_walk,demogr4_cycle,
county1,14.2315643,2.132358663,13.38839454,1.561123338,14.09508518,1.756776831,17.53776913,1.927007786,2012
county2,24.74329615,2.664027512,23.08561536,2.433573021,21.015682,2.077519015,21.81848229,2.135744738,
county3,43.96520938,5.415262519,37.03001159,4.323087695,31.22620969,3.344978143,31.13522694,3.097600257,
county4,42.7086196,3.749220651,39.11462181,3.5941195,30.71797495,3.053358138,29.39658338,2.944454039,
county5,47.79705526,55.26818462,43.03673036,24.50730358,36.47794608,18.87788981,35.38671116,25.72431624,
county6,30.88799706,3.737569714,26.29378656,2.591459256,23.42764802,1.797972942,18.90978278,1.647238169,
