,demogr1_walk,demogr1_cycle,demogr2_walk,demogr2_cycle,demogr3_walk,demogr3_cycle,demogr4_walk,demogr4_cycle,
county1,15.50121707,1.889906584,24.66348329,1.461272494,19.07231459,2.692767259,18.15495677,2.701458213,S1
county2,20.79323416,2.136731521,23.59044349,2.399300558,22.6056555,2.416552933,25.93111765,2.88977254,
county3,36.99744808,4.356548048,42.49393414,5.115436279,40.39476559,4.860951394,42.50328714,5.405569367,
county4,37.23053441,3.214587131,44.32270649,4.580737284,41.17438667,3.575302506,43.49689515,4.316790513,
county5,45.89842694,25.404356,47.9536854,23.58945902,49.84671908,47.24964014,50.44641903,32.5582792,
county6,24.44636834,2.026756372,29.85716272,2.234701339,27.77589513,2.582893646,31.45870816,3.241072195,
