"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6866962",-121.24224,38.4962132,2015,"3400","5","2","4","21",0,1,"B",,,,,,1200,2,"C","C","A","SUNRISE BL","FLORIN RD",150,"S","N","2015-04-14",9252,"2015-02-17",940,"013720",,"1","9","0","3",,"2","074","E","N",,0,0,,,0,,,,"N",3,"A","-",22106,,"N","A","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.24423,38.49629
"6866652",-121.4051509,38.4817144,2015,"3400","4","3","4","03",0,1,"A",,,,,,1500,2,"C","C","A","GERBER RD","FERNRIDGE DR",35,"E","N","2015-04-20",9252,"2015-02-11",1445,"16747",,"2","9","0","2",,"2","073","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","J","48",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.40535,38.48172
"6866648",-121.3910772,38.4961261,2015,"3400","4","3","4","05",0,1,"A",,"Y",,,,1500,2,"D","G","A","FLORIN RD","FRENCH RD",150,"W","N","2015-04-14",9252,"2015-02-04",1450,"016747",,"2","9","0","2",,"2","073","-","N",,0,0,,,0,,,,"N",2,"A","-",21650,"1","N","A","H","-","A","D","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.39142,38.49615
"6866144",-121.3902097,38.4235872,2015,"3450","0","4","4","22",0,1,"A",,,,,,1800,3,"C","C","A","BOND RD","E STOCKTON BL",10,"E","N","2015-04-14",340,"2015-03-19",1720,"10583","3403","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"B","-",0,,"M","A","H","-","A","D","0","Y","-","99",0,0,1,0,0,0,0,0,0,"-","-","ELK GROVE","SACRAMENTO","CA",0,0
"6865920",-121.4970893,38.5690379,2015,"3404","0","4","4","03",0,1,"A",,,,,,900,3,"C","C","A","T ST","11TH ST",74,"W","N","2015-04-09",3404,"2015-03-26",855,"0756","CENTR","5","7","0","0",,"0","03A","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865916",-121.4855231,38.5842751,2015,"3404","0","5","3","12",0,1,"A",,"Y",,,,1500,3,"D","G","A","E ST","14TH ST",0,,"Y","2015-04-09",3404,"2015-03-27",1224,"640","3A","5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",22450,"A","N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865912",-121.4970932,38.578815,2015,"3404","0","1","4","12",0,1,"A",,,,,,1500,3,"D","C","A","8TH ST","L ST",0,,"Y","2015-04-09",3404,"2015-03-30",1338,"0522","3","5","7","0","0",,"0","00M","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865908",-121.4094132,38.5546817,2015,"3404","0","1","4","03",0,2,"A",,,,,,1800,3,"C","C","A","HOWE AV","RT 50",312,"N","N","2015-04-09",3404,"2015-03-30",1521,"8178","P6","5","7","0","0",,"0","06E","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","08",0,0,2,0,0,0,0,0,0,"-","EO","SACRAMENTO","SACRAMENTO","CA",0,0
"6865904",-121.4760032,38.524867,2015,"3404","0","1","4","03",0,2,"A",,,,,,2100,3,"C","C","A","FRUITRIDGE RD","28TH ST",369,"E","N","2015-04-09",3404,"2015-03-30",2033,"913",,"5","7","0","0",,"0","04B","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","C","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865900",-121.5179895,38.5250315,2015,"3404","0","1","4","03",0,1,"A",,,,,,1500,3,"C","C","A","SEAMAS AV","LONSDALE DR",31,"W","N","2015-04-09",3404,"2015-03-30",1333,"0648",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
